,url,datetime,headline
177332,https://www.straitstimes.com/opinion/leveraging-big-data-for-the-public-good,2022-10-21T05:00:59+08:00,Leveraging Big Data For The Public Good
177331,https://www.straitstimes.com/opinion/forum/forum-excerpts-86,2022-10-21T05:01:00+08:00,Forum Excerpts 86
177333,https://www.straitstimes.com/opinion/forum/forum-15-month-wait-out-scheme-prioritises-public-housing-for-those-with-genuine-needs,2022-10-21T05:01:09+08:00,Forum 15 Month Wait Out Scheme Prioritises Public Housing For Those With Genuine Needs
177334,https://www.straitstimes.com/world/united-states/biden-worried-about-ukraine-aid-if-republicans-win-congress,2022-10-21T05:16:11+08:00,Biden Worried About Ukraine Aid If Republicans Win Congress
177336,https://www.straitstimes.com/business/companies-markets/us-stocks-fall-again-on-interest-rate-angst,2022-10-21T05:42:26+08:00,Us Stocks Fall Again On Interest Rate Angst
177338,https://www.straitstimes.com/sport/football/football-leicester-off-the-bottom-with-2-0-home-win-over-leeds,2022-10-21T06:15:19+08:00,Football Leicester Off The Bottom With 2 0 Home Win Over Leeds
177326,https://www.straitstimes.com/opinion/just-what-does-biden-mean-by-most-decisive-decade,2022-10-21T07:14:08+08:00,Just What Does Biden Mean By Most Decisive Decade
177282,https://www.straitstimes.com/world/europe/liz-truss-resigns-as-british-pm-who-are-in-the-race-to-replace-her,2022-10-21T07:16:25+08:00,Liz Truss Resigns As British Pm Who Are In The Race To Replace Her
176153,https://www.straitstimes.com/world/rolex-perpetual-planet-awards-for-enterprise-laureate-shaqat-hussain-pakistan-snow-leopard-eco-warrior-sustainability-environment,2022-10-21T07:32:44+08:00,Rolex Perpetual Planet Awards For Enterprise Laureate Shaqat Hussain Pakistan Snow Leopard Eco Warrior Sustainability Environment
177311,https://www.straitstimes.com/world/europe/iranian-trainers-on-the-ground-helped-russia-with-ukraine-drone-attacks-us-says,2022-10-21T08:35:12+08:00,Iranian Trainers On The Ground Helped Russia With Ukraine Drone Attacks Us Says
177290,https://www.straitstimes.com/asia/south-asia/uphill-task-for-india-s-congress-party-to-take-on-modi-despite-electing-new-leader-kharge,2022-10-21T09:55:45+08:00,Uphill Task For India S Congress Party To Take On Modi Despite Electing New Leader Kharge
177287,https://www.straitstimes.com/world/europe/british-prime-minister-liz-truss-resigns-after-just-45-days-in-job,2022-10-21T12:44:44+08:00,British Prime Minister Liz Truss Resigns After Just 45 Days In Job
177322,https://www.straitstimes.com/asia/xi-may-bend-retirement-age-rule-for-military-top-brass,2022-10-21T12:47:28+08:00,Xi May Bend Retirement Age Rule For Military Top Brass
177280,https://www.straitstimes.com/asia/south-asia/modi-linked-hindu-group-stirs-muslim-tensions-ahead-of-elections,2022-10-21T12:49:09+08:00,Modi Linked Hindu Group Stirs Muslim Tensions Ahead Of Elections
177293,https://www.straitstimes.com/asia/covering-china-s-party-congress-in-a-time-of-covid-19,2022-10-21T12:50:13+08:00,Covering China S Party Congress In A Time Of Covid 19
177276,https://www.straitstimes.com/world/singapore-s-vena-energy-unveils-2-gigawatt-offshore-wind-project-in-australia,2022-10-21T12:54:36+08:00,Singapore S Vena Energy Unveils 2 Gigawatt Offshore Wind Project In Australia
177283,https://www.straitstimes.com/singapore/health/health-ministry-continues-push-to-make-singapore-dementia-friendly,2022-10-21T13:00:24+08:00,Health Ministry Continues Push To Make Singapore Dementia Friendly
177278,https://www.straitstimes.com/singapore/politics/wait-out-period-waived-for-220-private-home-owners-to-buy-hdb-resale-flats-desmond-lee,2022-10-21T13:05:06+08:00,Wait Out Period Waived For 220 Private Home Owners To Buy Hdb Resale Flats Desmond Lee
177265,https://www.straitstimes.com/singapore/politics/1-in-3-home-owners-with-outstanding-mortgages-affected-by-rising-interest-rates-alvin-tan,2022-10-21T13:11:48+08:00,1 In 3 Home Owners With Outstanding Mortgages Affected By Rising Interest Rates Alvin Tan
177268,https://www.straitstimes.com/business/new-bnpl-code-of-conduct-customers-cannot-have-more-than-2k-in-outstanding-payments,2022-10-21T13:12:32+08:00,New Bnpl Code Of Conduct Customers Cannot Have More Than 2k In Outstanding Payments
177327,https://www.straitstimes.com/world/liz-truss-resigns-swift-exit-of-pm-who-moved-britain-too-far-too-fast-solves-nothing-for-nation,2022-10-21T14:21:07+08:00,Liz Truss Resigns Swift Exit Of Pm Who Moved Britain Too Far Too Fast Solves Nothing For Nation
177315,https://www.straitstimes.com/world/europe/shortest-serving-pm-in-uk-history-leaves-scars-on-economy,2022-10-21T15:26:18+08:00,Shortest Serving Pm In Uk History Leaves Scars On Economy
177294,https://www.straitstimes.com/business/what-you-need-to-know-about-the-bnpl-code-of-conduct,2022-10-21T16:32:08+08:00,What You Need To Know About The Bnpl Code Of Conduct
177314,https://www.straitstimes.com/sport/football/football-ronaldo-axed-from-man-united-squad-to-face-chelsea-after-spurs-tantrum,2022-10-21T16:55:00+08:00,Football Ronaldo Axed From Man United Squad To Face Chelsea After Spurs Tantrum
177328,https://www.straitstimes.com/opinion/rebalancing-rewards-between-head-work-and-heart-and-hands-work,2022-10-21T17:20:06+08:00,Rebalancing Rewards Between Head Work And Heart And Hands Work
177275,https://www.straitstimes.com/sport/motor-racing-verstappen-and-red-bull-fired-by-twin-ambitions-in-texas,2022-10-21T17:26:06+08:00,Motor Racing Verstappen And Red Bull Fired By Twin Ambitions In Texas
177303,https://www.straitstimes.com/singapore/community/diversity-inclusion-are-valued-by-the-people-and-will-play-a-part-in-shaping-s-pore-s-future-dpm-wong,2022-10-21T17:33:53+08:00,Diversity Inclusion Are Valued By The People And Will Play A Part In Shaping S Pore S Future Dpm Wong
177337,https://www.straitstimes.com/life/entertainment/oscar-winner-kevin-spacey-cleared-in-new-york-sex-assault-civil-case,2022-10-21T19:05:17+08:00,Oscar Winner Kevin Spacey Cleared In New York Sex Assault Civil Case
177339,https://www.straitstimes.com/world/united-states/pfizer-expects-to-raise-covid-19-vaccine-price-to-157-185-per-dose,2022-10-21T21:22:59+08:00,Pfizer Expects To Raise Covid 19 Vaccine Price To 157 185 Per Dose
177317,https://www.straitstimes.com/world/europe/moscow-skips-un-review-of-rights-in-russia,2022-10-21T22:27:20+08:00,Moscow Skips Un Review Of Rights In Russia
177284,https://www.straitstimes.com/business/companies-markets/goto-in-talks-with-major-owners-over-14-billion-stake-sale,2022-10-21T22:35:26+08:00,Goto In Talks With Major Owners Over 14 Billion Stake Sale
177335,https://www.straitstimes.com/sport/football/football-arsenal-reach-europa-league-knockouts-with-victory-over-psv,2022-10-22T00:04:51+08:00,Football Arsenal Reach Europa League Knockouts With Victory Over Psv
177340,https://www.straitstimes.com/sport/football/football-gerrard-sacked-by-struggling-villa-after-fulham-defeat,2022-10-22T00:35:23+08:00,Football Gerrard Sacked By Struggling Villa After Fulham Defeat
177302,https://www.straitstimes.com/world/texas-scoring-over-california,2022-10-22T05:00:00+08:00,Texas Scoring Over California
177323,https://www.straitstimes.com/opinion/st-editorial/lessons-from-the-battle-against-inflation,2022-10-22T11:27:08+08:00,Lessons From The Battle Against Inflation
177270,https://www.straitstimes.com/singapore/health/4500-children-under-five-signed-up-for-covid-19-jabs-on-first-day-of-registration,2022-10-23T15:59:58+08:00,4500 Children Under Five Signed Up For Covid 19 Jabs On First Day Of Registration
177300,https://www.straitstimes.com/singapore/coordination-needed-between-social-service-agencies-helping-low-income-families-social-workers,2022-10-23T20:22:33+08:00,Coordination Needed Between Social Service Agencies Helping Low Income Families Social Workers
177316,https://www.straitstimes.com/world/europe/prescient-or-traitor-rishi-sunak-is-the-favourite-to-be-next-uk-pm,2022-10-24T10:38:04+08:00,Prescient Or Traitor Rishi Sunak Is The Favourite To Be Next Uk Pm
177298,https://www.straitstimes.com/asia/indonesia-halts-sale-of-medicine-syrups-after-children-s-deaths-from-acute-kidney-injuries,2022-10-24T17:23:45+08:00,Indonesia Halts Sale Of Medicine Syrups After Children S Deaths From Acute Kidney Injuries
178494,https://www.straitstimes.com/newsletter-signup,2022-10-25T10:08:28+08:00,Newsletter Signup
177292,https://www.straitstimes.com/singapore/politics/migrant-workers-lost-249m-to-scams-in-2021-up-from-45m-in-2019,2022-10-27T10:22:06+08:00,Migrant Workers Lost 249m To Scams In 2021 Up From 45m In 2019
170232,https://www.straitstimes.com/asia/east-asia/north-korea-blames-ukraine-crisis-on-americas-hegemonic-high-handedness,2022-10-28T18:47:51+08:00,North Korea Blames Ukraine Crisis On Americas Hegemonic High Handedness
170422,https://www.straitstimes.com/world/europe/ukraine-recalls-envoys-from-georgia-kyrgyzstan,2022-10-28T18:48:17+08:00,Ukraine Recalls Envoys From Georgia Kyrgyzstan
173925,https://www.straitstimes.com/sport/tennis/tennis-raducanu-on-course-for-wimbledon-despite-injury-scare,2022-10-28T19:14:37+08:00,Tennis Raducanu On Course For Wimbledon Despite Injury Scare
176129,https://www.straitstimes.com/life/travel/streetwise-what-to-do-if-you-are-robbed-and-other-self-defence-tips-for-travel,2022-10-31T11:59:08+08:00,Streetwise What To Do If You Are Robbed And Other Self Defence Tips For Travel
177295,https://www.straitstimes.com/singapore/politics/move-to-protect-definition-of-marriage-from-court-challenges-will-satisfy-most-s-poreans-observers,2022-11-01T11:44:32+08:00,Move To Protect Definition Of Marriage From Court Challenges Will Satisfy Most S Poreans Observers
153862,https://www.straitstimes.com/singapore/inspiring-a-new-generation-of-women-in-architecture-and-engineering,2022-11-01T16:07:13+08:00,Inspiring A New Generation Of Women In Architecture And Engineering
154711,https://www.straitstimes.com/business/empowering-women-through-tailored-financial-solutions,2022-11-01T16:07:13+08:00,Empowering Women Through Tailored Financial Solutions
176358,https://www.straitstimes.com/life/travel/streetwise-travel-essentials-from-content-creator-annette-lee,2022-11-02T13:50:53+08:00,Streetwise Travel Essentials From Content Creator Annette Lee
163708,https://www.straitstimes.com/asia/east-asia/always-there-the-ai-chatbot-comforting-chinas-lonely-millions,2022-11-02T17:44:21+08:00,Always There The Ai Chatbot Comforting Chinas Lonely Millions
168971,https://www.straitstimes.com/tech/tech-news/man-versus-machine-human-beings-losing-out-as-ai-coldly-fires-under-performing-workers,2022-11-02T17:44:21+08:00,Man Versus Machine Human Beings Losing Out As Ai Coldly Fires Under Performing Workers
168951,https://www.straitstimes.com/tech/tech-news/how-using-ai-in-insurance-could-help-or-harm-consumers,2022-11-02T17:44:21+08:00,How Using Ai In Insurance Could Help Or Harm Consumers
167419,https://www.straitstimes.com/asia/computer-generated-influencers-set-to-boom-in-asia-report,2022-11-02T17:44:21+08:00,Computer Generated Influencers Set To Boom In Asia Report
127780,https://www.straitstimes.com/tech/apple-ceo-tim-cook-urges-kids-to-code-to-inspire-creativity-talks-about-possible-third-store-in,2022-11-02T17:44:21+08:00,Apple Ceo Tim Cook Urges Kids To Code To Inspire Creativity Talks About Possible Third Store In
163634,https://www.straitstimes.com/business/singapore-firm-ventures-to-make-ai-accessible-in-africa,2022-11-02T17:44:21+08:00,Singapore Firm Ventures To Make Ai Accessible In Africa
99636,https://www.straitstimes.com/lifestyle/nov-11-is-singles-day-things-to-know-about-the-worlds-biggest-annual-online-shopping-event,2022-11-04T15:30:46+08:00,Nov 11 Is Singles Day Things To Know About The Worlds Biggest Annual Online Shopping Event
173842,https://www.straitstimes.com/world/united-states/plane-crash-mysteries-spur-renewed-calls-for-cockpit-cameras,2022-11-05T10:29:28+08:00,Plane Crash Mysteries Spur Renewed Calls For Cockpit Cameras
178665,https://www.straitstimes.com/malaysia-election-live,2022-11-19T20:48:09+08:00,Malaysia Election Live
178653,https://www.straitstimes.com/malaysia-elections,2022-11-20T09:01:57+08:00,Malaysia Elections
177342,https://www.straitstimes.com/asia/east-asia/north-korea-s-icbm-tests-korea-herald,2022-11-21T09:27:43+08:00,North Korea S Icbm Tests Korea Herald
171475,https://www.straitstimes.com/singapore/housing/woman-who-suffered-noise-from-upstairs-neighbour-for-three-years-lost-sleep-job,2022-11-21T16:36:39+08:00,Woman Who Suffered Noise From Upstairs Neighbour For Three Years Lost Sleep Job
177343,https://www.straitstimes.com/asia/se-asia/the-politicking-isn-t-over-in-malaysia-the-star-contributor,2022-11-21T18:12:34+08:00,The Politicking Isn T Over In Malaysia The Star Contributor
166956,https://www.straitstimes.com/singapore/environment/arthritis-ear-mites-and-rotten-teeth-i-adopted-an-ex-breeding-dog-and-it-was,2022-11-22T16:04:47+08:00,Arthritis Ear Mites And Rotten Teeth I Adopted An Ex Breeding Dog And It Was
178663,https://www.straitstimes.com/cortina-50th-anniversary,2022-11-23T10:01:23+08:00,Cortina 50th Anniversary
178650,https://www.straitstimes.com/stop-scams,2022-11-24T07:25:40+08:00,Stop Scams
177341,https://www.straitstimes.com/sport/formula-one/in-the-driver-s-seat-dramas-of-2022-could-cast-a-long-shadow-into-next-year,2022-11-25T20:42:09+08:00,In The Driver S Seat Dramas Of 2022 Could Cast A Long Shadow Into Next Year
170462,https://www.straitstimes.com/opinion/forum/forum-diners-can-clean-the-tables-at-eateries-themselves,2022-11-30T17:41:23+08:00,Forum Diners Can Clean The Tables At Eateries Themselves
178664,https://www.straitstimes.com/world-cup-2022,2022-12-01T16:50:24+08:00,World Cup 2022
178598,https://www.straitstimes.com/invest,2022-12-04T06:00:45+08:00,Invest
169759,https://www.straitstimes.com/singapore/community/he-lost-over-1-million-to-gambling-and-his-fiancee-left-him-one-month-before-wedding,2022-12-06T15:23:49+08:00,He Lost Over 1 Million To Gambling And His Fiancee Left Him One Month Before Wedding
169752,https://www.straitstimes.com/singapore/community/1000-win-from-a-bet-of-20-cents-led-to-20-years-of-addiction-to-jackpots,2022-12-06T15:26:44+08:00,1000 Win From A Bet Of 20 Cents Led To 20 Years Of Addiction To Jackpots
175217,https://www.straitstimes.com/life/food/where-to-eat-cheap-and-delicious-meals-for-3-and-below,2022-12-08T11:34:36+08:00,Where To Eat Cheap And Delicious Meals For 3 And Below
174141,https://www.straitstimes.com/life/food/vouched-for-10-eats-in-north-east-spore-to-spend-your-cdc-vouchers,2022-12-08T11:46:46+08:00,Vouched For 10 Eats In North East Spore To Spend Your Cdc Vouchers
177272,https://www.straitstimes.com/world/rolex-perpetual-planet-we-the-earth-vacation-photos-whale-sharks-brad-norman,2022-12-19T12:51:03+08:00,Rolex Perpetual Planet We The Earth Vacation Photos Whale Sharks Brad Norman
153631,https://www.straitstimes.com/singapore/i-hide-my-vape-pen-in-my-underwear-student-0,2022-12-20T12:20:34+08:00,I Hide My Vape Pen In My Underwear Student 0
174270,https://www.straitstimes.com/singapore/transport/askst-what-to-do-if-you-get-into-motor-related-incidents-in-malaysia,2022-12-22T12:45:24+08:00,Askst What To Do If You Get Into Motor Related Incidents In Malaysia
177344,https://www.straitstimes.com/world/chile-to-open-embassy-in-palestinian-territories-says-president,2022-12-23T09:02:16+08:00,Chile To Open Embassy In Palestinian Territories Says President
177349,https://www.straitstimes.com/asia/east-asia/china-authorities-take-over-medical-supplies-production-as-covid-19-surges,2022-12-23T10:23:28+08:00,China Authorities Take Over Medical Supplies Production As Covid 19 Surges
177346,https://www.straitstimes.com/business/jumbo-opens-first-franchised-seafood-outlet-in-cambodia,2022-12-23T10:34:10+08:00,Jumbo Opens First Franchised Seafood Outlet In Cambodia
177352,https://www.straitstimes.com/world/united-states/us-scales-back-pandemic-response-as-covid-19-explodes-in-china,2022-12-23T11:42:56+08:00,Us Scales Back Pandemic Response As Covid 19 Explodes In China
177345,https://www.straitstimes.com/business/china-tech-stocks-winning-back-investors-after-awful-year,2022-12-23T17:21:09+08:00,China Tech Stocks Winning Back Investors After Awful Year
177347,https://www.straitstimes.com/business/japan-inflation-speeds-up-raising-risk-of-more-boj-shocks,2022-12-23T20:17:00+08:00,Japan Inflation Speeds Up Raising Risk Of More Boj Shocks
177348,https://www.straitstimes.com/business/sembcorp-commissions-south-east-asia-s-largest-energy-storage-system-on-jurong-island,2022-12-23T20:42:16+08:00,Sembcorp Commissions South East Asia S Largest Energy Storage System On Jurong Island
177353,https://www.straitstimes.com/world/united-states/panel-releases-report-blasting-trump-for-capitol-assault,2022-12-23T21:15:22+08:00,Panel Releases Report Blasting Trump For Capitol Assault
177350,https://www.straitstimes.com/life/home-design/book-gifts-craft-a-pleated-sleeve-for-a-book,2022-12-27T11:44:52+08:00,Book Gifts Craft A Pleated Sleeve For A Book
177351,https://www.straitstimes.com/life/home-design/book-gifts-celebrate-singapore-design-and-architecture-with-timely-and-timeless-tomes,2022-12-27T11:45:29+08:00,Book Gifts Celebrate Singapore Design And Architecture With Timely And Timeless Tomes
174761,https://www.straitstimes.com/singapore/duo-who-fed-ukrainian-refugees-in-poland-is-first-nominee-for-sts-singaporean-of-the-year,2022-12-28T13:17:15+08:00,Duo Who Fed Ukrainian Refugees In Poland Is First Nominee For Sts Singaporean Of The Year
178656,https://www.straitstimes.com/soty22,2022-12-28T16:22:31+08:00,Soty22
174281,https://www.straitstimes.com/business/interactive-singapore-salary-guide,2022-12-30T17:47:37+08:00,Interactive Singapore Salary Guide
173976,https://www.straitstimes.com/life/style/style-news-gucci-and-adidas-pop-up-laneige-expands-radian-c-line,2023-01-06T21:41:49+08:00,Style News Gucci And Adidas Pop Up Laneige Expands Radian C Line
172227,https://www.straitstimes.com/world/europe/dancing-not-war-signs-of-normality-in-ukraines-shattered-kharkiv,2023-01-07T08:02:06+08:00,Dancing Not War Signs Of Normality In Ukraines Shattered Kharkiv
173688,https://www.straitstimes.com/life/entertainment/ten-years-after-gangnam-style-psy-is-happier-than-ever,2023-01-07T08:05:15+08:00,Ten Years After Gangnam Style Psy Is Happier Than Ever
162848,https://www.straitstimes.com/singapore/parenting-education/minor-issues-fat-shamed-as-a-kid-i-raise-my-boys-to-be-healthy,2023-01-10T14:11:51+08:00,Minor Issues Fat Shamed As A Kid I Raise My Boys To Be Healthy
15235,https://www.straitstimes.com/singapore/in-pictures-21-million-indian-heritage-centre-to-open-to-the-public-on-may-8,2023-01-11T15:35:21+08:00,In Pictures 21 Million Indian Heritage Centre To Open To The Public On May 8
178666,https://www.straitstimes.com/fastest-growing-companies-2023,2023-01-17T13:04:45+08:00,Fastest Growing Companies 2023
178608,https://www.straitstimes.com/world-economic-forum,2023-01-19T08:44:12+08:00,World Economic Forum
173566,https://www.straitstimes.com/business/companies-markets/fostering-steward-leadership-as-a-winning-formula-for-companies-employees-and-society,2023-01-19T11:05:27+08:00,Fostering Steward Leadership As A Winning Formula For Companies Employees And Society
132783,https://www.straitstimes.com/lifestyle/food/the-lowdown-on-high-calorie-chinese-new-year-treats,2023-01-20T22:19:10+08:00,The Lowdown On High Calorie Chinese New Year Treats
131821,https://www.straitstimes.com/lifestyle/food/three-homemade-recipes-for-hot-pot-dipping-sauces,2023-01-25T13:51:05+08:00,Three Homemade Recipes For Hot Pot Dipping Sauces
157848,https://www.straitstimes.com/singapore/interactive-how-singapore-built-one-of-the-worlds-biggest-floating-solar-farms,2023-01-25T15:23:26+08:00,Interactive How Singapore Built One Of The Worlds Biggest Floating Solar Farms
